id_product;name;reference;price;wholesale_price;unit_price_ratio;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"1580";"Pain d'épices artisanal 300 g";"DG-RO-UUN-NN-P";"3.950000";"3.700000";"0.000000";"0";"Coop La Meute";"1";"2060";"Epicerie sucrée";"0";"0";"";"0";"1";
"1581";"Fraises Gariguette Tanneron AR ( Barquette de 250g)";"FD-MN-UUN-NN-P";"3.300000";"2.600000";"1.000000";"0";"Coop La Meute";"1";"2054";"Fruits frais";"0";"0";"";"0";"1";
"1582";"Salade Batavia Agric Raisonnée (à la pièce)";"LS-MN-UUN-NN-P";"1.000000";"0.740000";"0.000000";"0";"Coop La Meute";"1";"2055";"Salades";"0";"0";"";"887";"0";
"1583";"Salade Feuille de chêne rouge Agric Raisonnée (à la pièce)";"LS-MN-UUN-NN-P";"1.000000";"0.740000";"0.000000";"0";"Coop La Meute";"1";"2057";"Salades";"0";"0";"";"906";"0";
"1584";"Salade Frisée Agric Raisonnée (à la pièce)";"LS-MN-UUN-NN-P";"1.000000";"0.740000";"0.000000";"0";"Coop La Meute";"1";"2058";"Salades";"0";"0";"";"2";"0";
"1585";"Citron BIO (au 500g)";"FA-MN-KMN-NO";"1.500000";"0.000000";"0.500000";"0";"Coop La Meute";"1";"2059";"Agrumes";"0";"0";"";"1";"0";
"1587";"Beurre doux Biogam 250g";"CF-RO-UUN-NN-S";"3.400000";"2.590000";"0.000000";"1";"Coop La Meute";"1";"2064";"Crèmerie";"0";"0";"";"999";"0";
"1588";"Blettes multicolore France BIO NATURDIS au kg";"LS-MN-KUN-NO";"3.800000";"3.000000";"1.000000";"0";"Coop La Meute";"1";"2066";"Légumes frais";"0";"0";"";"990";"0";
"1589";"Houmous 180g";"SR-RO-UUN-NN-P";"3.050000";"2.440000";"0.000000";"0";"Coop La Meute";"1";"2067";"Epicerie salée";"0";"0";"";"0";"1";
"1590";"Patate douce BIO (au kg)";"LX-MN-KUN-NO";"3.500000";"2.800000";"1.000000";"0";"Coop La Meute";"1";"2068";"Légumes frais";"0";"0";"";"25";"0";
"1591";"Graines de courges Markal 500g";"SR-RO-UUN-NN";"5.050000";"4.040000";"0.000000";"1";"Coop La Meute";"1";"2069";"Accueil";"0";"0";"";"6";"0";
"1592";"Graines de tournesol Markal 250g";"SR-RO-UUN-NN";"1.500000";"1.210000";"0.000000";"1";"Coop La Meute";"1";"2070";"Accueil";"0";"0";"";"6";"0";
"1593";"Kasha sarrasin grillé 500GR Markal";"SR-RO-UUN-NN";"3.300000";"2.510000";"0.000000";"1";"Coop La Meute";"1";"2071";"Accueil";"0";"0";"";"7";"0";
"1594";"Orge perlé  500GR Markal";"SR-RO-UUN-NN";"1.650000";"1.320000";"0.000000";"1";"Coop La Meute";"1";"2072";"Accueil";"0";"0";"";"5";"0";
"1595";"Biscuits palmiers dorés sans sucres ajoutés karéléa 100g";"SB-RO-UUN-NN-P";"2.250000";"1.800000";"0.000000";"0";"Coop La Meute";"1";"2073";"Epicerie sucrée";"0";"0";"";"21";"0";
"1597";"Yaourt Bi-couche Citrons 125G  à l'unité. Echange Paysans";"CR-RO-UUN-NN";"0.550000";"0.410000";"0.000000";"0";"Coop La Meute";"1";"2075";"Fromages et Crèmerie";"0";"0";"";"0";"1";
"1598";"Yaourt Bi-couche Fraise 125G  à l'unité. Echange Paysans";"CR-RO-UUN-NN";"0.550000";"0.410000";"0.000000";"0";"Coop La Meute";"1";"2076";"Fromages et Crèmerie";"0";"0";"";"8";"0";
"1599";"Farine de blé T80 1kg Moulin Saint Joseph";"DG-RO-UUN-NN-P";"2.050000";"1.620000";"0.000000";"0";"Coop La Meute";"1";"2077";"Accueil";"0";"0";"";"0";"1";
"1600";"Farine de blé T110  1kg  Moulin Saint Joseph";"DG-RO-UUN-NN-P";"2.050000";"1.620000";"0.000000";"1";"Coop La Meute";"1";"2078";"Epicerie salée";"0";"0";"";"2";"0";
