Fournisseur;Actif;id;CB;UPC;Produit;Réference;Categorie;Prix Achat;Prix Vente;Unité de Vente;Quantité à la vente;
"GIRAUD Anne";"Oui";"1236";"";"";"Compote pommes/vanille bio 380  g";"DD-RO-UUN-NN-P";"Compotes et Purées";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1727";"";"";"Confiture de framboise blanche bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1728";"";"";"Confiture de cynorhodon bio 420 g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"5.60";"";"0";
"GIRAUD Anne";"Oui";"1729";"";"";"Compote pommes fraises bio 380  g";"DD-RO-UUN-NN-P";"Compotes et Purées";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1730";"";"";"Compote pommes coings bio 380  g";"DD-RO-UUN-NN-P";"Compotes et Purées";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Non";"1194";"";"";"Confiture de framboises bio 430 g";"DD-RO-UUN-NN-P";"Confitures";"4.50";"5.60";"";"0";
"GIRAUD Anne";"Non";"1196";"";"";"Confiture de cassis 425 g";"DD-RO-UUN-NN-P";"Confitures";"4.50";"5.60";"";"0";
"GIRAUD Anne";"Non";"1203";"";"";"Confiture de poire/noix bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Non";"1205";"";"";"Coulis de fraise bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"2.50";"3.10";"";"6";
"GIRAUD Anne";"Non";"1206";"";"";"Coulis de framboise bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"2.50";"3.10";"";"0";
"GIRAUD Anne";"Non";"1207";"";"";"Coulis de müre bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"2.50";"3.10";"";"0";
"GIRAUD Anne";"Non";"1234";"";"";"Compote pommes/banane bio 380  g";"DD-RO-UUN-NN-P";"Compotes et Purées";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Non";"1235";"";"";"Compote pommes/kiwi bio 380  g";"DD-RO-UUN-NN-P";"Compotes et Purées";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Non";"1378";"";"";"Confiture de fraise bio 400 g";"DD-RO-UUN-NN-P";"Confitures";"4.50";"5.60";"";"0";
"GUSTINELLI Jean-Pierre";"Non";"191";"";"";"Poivrons rouges BIO (par 500g)";"LF-MN-KMN-NO-P";"Légumes frais";"1.35";"1.75";"Kg";"0";
"GUSTINELLI Jean-Pierre";"Non";"192";"";"";"Poivrons verts BIO (par 500g)";"LF-MN-KMN-NO-P";"Légumes frais";"0.75";"1.10";"Kg";"40";
"GUSTINELLI Jean-Pierre";"Non";"227";"";"";"Piment d'Espelette (la pièce)";"LF-MV-UUN-NN-P";"Accueil";"10.10";"1.00";"";"1";
"GUSTINELLI Jean-Pierre";"Non";"229";"";"";"Pistils de safran - 0,3 g";"SS-SO-UUN-NN-P";"Epicerie salée";"11.10";"9.00";"";"1000";
"GUSTINELLI Jean-Pierre";"Non";"230";"";"";"Pistils de safran - 0,5 g";"SS-SO-UUN-NN-P";"Epicerie salée";"12.10";"12.00";"";"1000";
"Jardin Bio";"Oui";"350";"3760020503802";"";"Muesli bio graines gourmandes sans sucre ajouté 375g";"DP-RO-UUN-NN-P";"Epicerie sucrée";"2.11";"2.65";"paquet";"7";
"Jardin Bio";"Oui";"353";"3456300011180";"";"Thé vert menthe bio  30g";"DT-RO-UUN-NN-P";"Thés et Infusions";"2.04";"2.80";"paquet";"5";
