id_product;name;reference;price;wholesale_price;active;shopname;supp;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"665";"Pommes Dalinette  Bio au Kg";"FP-MO-KUN-NO";"2.800000";"2.110000";"1";"Coop La Meute";"Centifoglia  ";"1";"1404";"Pommes et poires";"0";"0";"";"990";"0";
"666";"Pommes Gala Bio (au kg)";"FP-MO-KUN-NO-P";"2.800000";"2.100000";"0";"Coop La Meute";"Centifoglia  ";"1";"944";"Pommes et poires";"0";"0";"";"1";"0";
"667";"Pommes Story  BIO (au Kg)";"FP-MO-KUN-NO";"2.300000";"1.740000";"0";"Coop La Meute";"GAEC du Val Alpin";"1";"1940";"Pommes et poires";"0";"0";"";"0";"1";
"668";"Clémentines d'Italie BIO (au Kg)";"FP-MO-KUN-NO";"3.000000";"2.250000";"0";"Coop La Meute";"Centifoglia  ";"1";"946";"Accueil";"0";"0";"";"0";"1";
"669";"Ratatouille 350 g";"SC-RO-UUN-NN-P";"5.000000";"4.200000";"0";"Coop La Meute";"Succio, le jardin du Peyloubet";"1";"957";"Accueil";"0";"0";"";"0";"1";
"670";"Tomates séchées 150g";"SC-RO-UUN-NN-P";"5.000000";"4.000000";"0";"Coop La Meute";"Succio, le jardin du Peyloubet";"1";"959";"Accueil";"0";"0";"";"0";"1";
"671";"Fonds d'artichauds 100g";"SC-RO-UUN-NN-P";"3.000000";"2.400000";"0";"Coop La Meute";"Succio, le jardin du Peyloubet";"1";"955";"Accueil";"0";"0";"";"0";"1";
"672";"Chou Kalé BIO ( à la botte)";"LC-MN-LUN-NN";"1.300000";"1.000000";"0";"Coop La Meute";"ORSO Manuel";"1";"947";"Accueil";"0";"0";"";"955";"0";
"673";"Chou Romanesco ( achat à la pièce - payé au poids : prix au kg)";"LC-MN-UUN-NO-P";"2.250000";"1.800000";"0";"Coop La Meute";"ORSO Manuel";"1";"948";"Accueil";"0";"0";"";"946";"0";
"674";"Citrons (au Kg)";"FP-MO-KUN-NO-P";"3.500000";"2.600000";"0";"Coop La Meute";"Centifoglia  ";"1";"953";"Accueil";"0";"0";"";"0";"1";
"675";"Pâte d'olives de l'arrière pays Niçois 180g";"SS-RO-UUN-NN-P";"5.000000";"4.000000";"0";"Coop La Meute";"Xavier Geoffroy";"1";"954";"Huiles , Vinaigres et Condiments";"0";"0";"";"0";"1";
"677";"Shampooing Huile Ricin et Jojoba - 250ml";"BX-RO-UUN-NN-P";"3.750000";"2.990000";"1";"Coop La Meute";"Floressance";"1";"962";"Accueil";"0";"0";"";"6";"0";
