id_product;name;reference;ean13;price;wholesale_price;active;supp;sav_quantity;badge_danger;
"1877";"Huile Essentielle Tea Tree Florame 30ml";"SE-SI-UUN-NN-P";"3516170019720";"14.150000";"11.320000";"1";"NaturDis_A";"1";"0";
"1878";"Huile Essentielle Gaultherie couchee  10ml  FLORAME";"SE-SI-UUN-NN-P";"351617002537";"6.950000";"5.560000";"1";"NaturDis_A";"0";"1";
"1879";"Noisettes en coques VRAC- vendu au 100g";"VD-RN-UUN-NN";"";"1.000000";"0.780000";"1";"NaturDis_A";"38";"0";
"1880";"Tablette Chocolat Cru Pure Origine Sierra Léone 80%.  Duplanteur 70 G Bio";"DC-RO-UUN-NN-P-X";"3770014589323";"4.450000";"3.990000";"1";"Maison Duplanteur";"0";"1";
"1881";"Sachet d’éclats de chocolats 150gr (DLC 1an) Duplanteur  Bio";"DC-RO-UUN-NN-P";"";"9.350000";"8.390000";"1";"Maison Duplanteur";"1";"0";
"1882";"Tablette Chocolat 100% Noir Origine Sierra Léone .  Duplanteur 70 G Bio";"DC-RO-UUN-NN-P";"";"7.150000";"6.400000";"1";"Maison Duplanteur";"3";"0";
"1883";"Tablette Chocolat au  lait de brebis 45% Sierra Léone .  Duplanteur 70 G Bio";"DC-RO-UUN-NN-P";"";"7.150000";"6.400000";"1";"Maison Duplanteur";"2";"0";
"1884";"Maxi Tablette Chocolat noir 69 % Sierra Léone .  Duplanteur 500G Bio";"DC-RO-UUN-NN-P";"";"35.000000";"29.000000";"0";"Maison Duplanteur";"0";"1";
"1885";"Tablette Chocolat Noir 86% Pure Origine Pérou.  Duplanteur 70 G Bio";"DC-RO-UUN-NN-P";"3770014589224";"4.450000";"3.990000";"1";"Maison Duplanteur";"1";"0";
"1886";"Tablette Chocolat au lait  45 % Pure Origine Sierra Léone.  Duplanteur 70 G Bio";"DC-RO-UUN-NN-P";"3770014589040";"4.450000";"3.990000";"1";"Maison Duplanteur";"5";"0";
"1887";"Infusion de Cacao . Sachet d’écorces de Fèves de Cacao Duplanteur 70 G Bio";"DC-RO-UUN-NN-P-X";"";"4.450000";"3.990000";"1";"Maison Duplanteur";"0";"1";
"1888";"Grué de Cacao .  Duplanteur 70 G Bio";"DC-RO-UUN-NN-P";"";"13.500000";"10.800000";"1";"Maison Duplanteur";"0";"1";
"1889";"Fromage Raclette désactivé Echange Paysans";"CR-RO-UUN-NN";"";"0.000000";"0.100000";"0";"Echange Paysan 05 - C&E";"0";"1";
